1624607015.477872 client started (14759): version 3.2a, socket /private/tmp/tmux-502/default, protocol 8
1624607015.477927 on Darwin 20.5.0 Darwin Kernel Version 20.5.0: Sat May  8 05:10:33 PDT 2021; root:xnu-7195.121.3~9/RELEASE_X86_64
1624607015.477949 using libevent 2.1.12-stable (select); utf8proc 2.6.1; ncurses 6.2
1624607015.477996 flags are 0x10010000
1624607015.478010 socket is /private/tmp/tmux-502/default
1624607015.478031 trying connect
1624607015.478122 add peer 0x7ffdc5e31000: 6 (0x0)
1624607015.482016 sending message 100 to peer 0x7ffdc5e31000 (4 bytes)
1624607015.482041 sending message 111 to peer 0x7ffdc5e31000 (8 bytes)
1624607015.482051 sending message 101 to peer 0x7ffdc5e31000 (7 bytes)
1624607015.482059 sending message 109 to peer 0x7ffdc5e31000 (4 bytes)
1624607015.482067 sending message 102 to peer 0x7ffdc5e31000 (13 bytes)
1624607015.482074 sending message 108 to peer 0x7ffdc5e31000 (49 bytes)
1624607015.482082 sending message 112 to peer 0x7ffdc5e31000 (70 bytes)
1624607015.482090 sending message 112 to peer 0x7ffdc5e31000 (5 bytes)
1624607015.482097 sending message 112 to peer 0x7ffdc5e31000 (5 bytes)
1624607015.482104 sending message 112 to peer 0x7ffdc5e31000 (6 bytes)
1624607015.482112 sending message 112 to peer 0x7ffdc5e31000 (6 bytes)
1624607015.482119 sending message 112 to peer 0x7ffdc5e31000 (11 bytes)
1624607015.482126 sending message 112 to peer 0x7ffdc5e31000 (10 bytes)
1624607015.482147 sending message 112 to peer 0x7ffdc5e31000 (13 bytes)
1624607015.482155 sending message 112 to peer 0x7ffdc5e31000 (13 bytes)
1624607015.482162 sending message 112 to peer 0x7ffdc5e31000 (18 bytes)
1624607015.482169 sending message 112 to peer 0x7ffdc5e31000 (9 bytes)
1624607015.482176 sending message 112 to peer 0x7ffdc5e31000 (21 bytes)
1624607015.482183 sending message 112 to peer 0x7ffdc5e31000 (13 bytes)
1624607015.482190 sending message 112 to peer 0x7ffdc5e31000 (7 bytes)
1624607015.482196 sending message 112 to peer 0x7ffdc5e31000 (13 bytes)
1624607015.482203 sending message 112 to peer 0x7ffdc5e31000 (7 bytes)
1624607015.482210 sending message 112 to peer 0x7ffdc5e31000 (13 bytes)
1624607015.482217 sending message 112 to peer 0x7ffdc5e31000 (9 bytes)
1624607015.482224 sending message 112 to peer 0x7ffdc5e31000 (21 bytes)
1624607015.482230 sending message 112 to peer 0x7ffdc5e31000 (13 bytes)
1624607015.482237 sending message 112 to peer 0x7ffdc5e31000 (8 bytes)
1624607015.482244 sending message 112 to peer 0x7ffdc5e31000 (12 bytes)
1624607015.482251 sending message 112 to peer 0x7ffdc5e31000 (13 bytes)
1624607015.482258 sending message 112 to peer 0x7ffdc5e31000 (9 bytes)
1624607015.482265 sending message 112 to peer 0x7ffdc5e31000 (9 bytes)
1624607015.482272 sending message 112 to peer 0x7ffdc5e31000 (12 bytes)
1624607015.482279 sending message 112 to peer 0x7ffdc5e31000 (8 bytes)
1624607015.482286 sending message 112 to peer 0x7ffdc5e31000 (7 bytes)
1624607015.482293 sending message 112 to peer 0x7ffdc5e31000 (7 bytes)
1624607015.482300 sending message 112 to peer 0x7ffdc5e31000 (9 bytes)
1624607015.482307 sending message 112 to peer 0x7ffdc5e31000 (13 bytes)
1624607015.482314 sending message 112 to peer 0x7ffdc5e31000 (9 bytes)
1624607015.482321 sending message 112 to peer 0x7ffdc5e31000 (15 bytes)
1624607015.482328 sending message 112 to peer 0x7ffdc5e31000 (13 bytes)
1624607015.482334 sending message 112 to peer 0x7ffdc5e31000 (12 bytes)
1624607015.482341 sending message 112 to peer 0x7ffdc5e31000 (8 bytes)
1624607015.482348 sending message 112 to peer 0x7ffdc5e31000 (14 bytes)
1624607015.482355 sending message 112 to peer 0x7ffdc5e31000 (9 bytes)
1624607015.482362 sending message 112 to peer 0x7ffdc5e31000 (10 bytes)
1624607015.482369 sending message 112 to peer 0x7ffdc5e31000 (10 bytes)
1624607015.482376 sending message 112 to peer 0x7ffdc5e31000 (10 bytes)
1624607015.482383 sending message 112 to peer 0x7ffdc5e31000 (10 bytes)
1624607015.482390 sending message 112 to peer 0x7ffdc5e31000 (11 bytes)
1624607015.482396 sending message 112 to peer 0x7ffdc5e31000 (10 bytes)
1624607015.482403 sending message 112 to peer 0x7ffdc5e31000 (8 bytes)
1624607015.482427 sending message 112 to peer 0x7ffdc5e31000 (11 bytes)
1624607015.482434 sending message 112 to peer 0x7ffdc5e31000 (11 bytes)
1624607015.482439 sending message 112 to peer 0x7ffdc5e31000 (11 bytes)
1624607015.482443 sending message 112 to peer 0x7ffdc5e31000 (8 bytes)
1624607015.482447 sending message 112 to peer 0x7ffdc5e31000 (8 bytes)
1624607015.482452 sending message 112 to peer 0x7ffdc5e31000 (8 bytes)
1624607015.482456 sending message 112 to peer 0x7ffdc5e31000 (10 bytes)
1624607015.482460 sending message 112 to peer 0x7ffdc5e31000 (10 bytes)
1624607015.482465 sending message 112 to peer 0x7ffdc5e31000 (10 bytes)
1624607015.482469 sending message 112 to peer 0x7ffdc5e31000 (10 bytes)
1624607015.482473 sending message 112 to peer 0x7ffdc5e31000 (10 bytes)
1624607015.482478 sending message 112 to peer 0x7ffdc5e31000 (11 bytes)
1624607015.482482 sending message 112 to peer 0x7ffdc5e31000 (11 bytes)
1624607015.482486 sending message 112 to peer 0x7ffdc5e31000 (10 bytes)
1624607015.482491 sending message 112 to peer 0x7ffdc5e31000 (9 bytes)
1624607015.482495 sending message 112 to peer 0x7ffdc5e31000 (9 bytes)
1624607015.482499 sending message 112 to peer 0x7ffdc5e31000 (12 bytes)
1624607015.482504 sending message 112 to peer 0x7ffdc5e31000 (9 bytes)
1624607015.482508 sending message 112 to peer 0x7ffdc5e31000 (6 bytes)
1624607015.482512 sending message 112 to peer 0x7ffdc5e31000 (8 bytes)
1624607015.482517 sending message 112 to peer 0x7ffdc5e31000 (15 bytes)
1624607015.482521 sending message 112 to peer 0x7ffdc5e31000 (13 bytes)
1624607015.482525 sending message 112 to peer 0x7ffdc5e31000 (16 bytes)
